Season,Episode,Title,Airdate,Description,Image
2,8,Bart the Daredevil,6 Dec. 1990,After seeing a motorcycle daredevil at a monster truck show\comma Bart becomes a death-defying daredevil skateboarder.,https://m.media-amazon.com/images/M/MV5BY2I1NWZkNDktYzU3ZS00YmZmLTg5YTctYWY1ZjA1NGNlNTA1XkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_.jpg
2,9,Itchy and Scratchy and Marge,20 Dec. 1990,Marge becomes a crusader against cartoon violence after watching The Itchy and Scratchy Show.,https://m.media-amazon.com/images/M/MV5BMTBmOWNhYjktZGQwYi00Njc4LWFlNTYtNjRjZDZkM2E2ZDQ1XkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_.jpg
2,10,Bart Gets Hit by a Car,10 Jan. 1991,While skateboarding down the street\comma Bart is hit by a car driven by Mr. Burns. Homer turns down Mr. Burns' token offer of $100\comma and instead hires ambulance-chaser Lionel Hutz to bring an outrageous lawsuit against the millionaire.,https://m.media-amazon.com/images/M/MV5BMTIwOTRkNzAtNGNhOC00NzgxLWEzY2QtZjhlM2RiYmRmOTk1XkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_.jpg
2,11,One Fish\comma Two Fish\comma Blowfish\comma Blue Fish,24 Jan. 1991,After apparently consuming poison blowfish\comma Homer is told that he only has 24 hours to live.,https://m.media-amazon.com/images/M/MV5BODg5MjcxNTI4MV5BMl5BanBnXkFtZTgwMDA2NTQ2MjE@._V1_.jpg
2,12,The Way We Was,31 Jan. 1991,Homer and Marge tell the story of how they met and fell in love in high school.,https://m.media-amazon.com/images/M/MV5BYmJhY2JmMTgtZmQ5ZC00NmQ2LTk0YWUtODlmNWUyMGRmNTBjXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_.jpg
2,13,Homer vs. Lisa and the 8th Commandment,7 Feb. 1991,Homer gets a crooked cable guy to install free cable in the Simpson home\comma and as a result\comma Lisa faces an ethical crisis over her family's stealing.,https://m.media-amazon.com/images/M/MV5BNjhiYjIzZWEtZjkwMi00MTY4LTg1MDEtMjk4YTVhNjU2OWVlXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_.jpg
2,14,Principal Charming,14 Feb. 1991,Homer tries to set Selma up with Principal Skinner\comma only for him to fall for Patty instead.,https://m.media-amazon.com/images/M/MV5BMDFkNDFhOWItOTE5OS00ODkxLTlkNGEtNzA0MzRlYjljMWFkXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_.jpg
2,15,Oh Brother\comma Where Art Thou?,21 Feb. 1991,After Grampa is hospitalized\comma he reveals that Homer has a half-brother\comma and the family set out to find him.,https://m.media-amazon.com/images/M/MV5BZjZjN2VjMTUtNmUzYS00NDc5LThkMjQtOGMwMWFlYjc1MWUzXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_.jpg
2,16,Bart's Dog Gets an F,7 Mar. 1991,After an uncontrollable Santa's Little Helper destroys several important Simpson possessions\comma Homer announces that he will be thrown out of the house unless he completes obedience training.,https://m.media-amazon.com/images/M/MV5BMDg5NmQ0ZTYtYjI2OS00NmY0LTgzOTItYzQ3NzQ0N2FkMzhlXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_.jpg
2,17,Old Money,28 Mar. 1991,After Grampa's new girlfriend dies and leaves him $106\comma000 in her will\comma he tries to decide what to do with it.,https://m.media-amazon.com/images/M/MV5BZmFlYmNiYmItZmVkMS00MDM0LWEwMGEtZDhkNWM2Yzc5YmJlXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_.jpg
2,18,Brush with Greatness,11 Apr. 1991,After becoming trapped in a water slide\comma Homer decides to go on a diet\comma while Marge enrolls in an art class and is soon commissioned to paint a portrait of Mr. Burns.,https://m.media-amazon.com/images/M/MV5BNDBhNDZlNzItYWNjYS00N2RiLWI3MzEtYTU2YTIxMzUzZDdjXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_.jpg
2,19,Lisa's Substitute,25 Apr. 1991,Lisa has a crush on her substitute teacher; Bart decides to run for class president.,https://m.media-amazon.com/images/M/MV5BYmFjMDY1NjctYmU3Mi00MTgyLWJiYzctMjE2YjFjNDc0ZWFiXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_.jpg
2,20,The War of the Simpsons,2 May 1991,Homer must decide which is more important: completing counseling to save his marriage or skipping out to catch a legendary catfish. Meanwhile\comma at home\comma Bart and Lisa take advantage of Grampa's ignorance of the house rules.,https://m.media-amazon.com/images/M/MV5BODBlZmVhNjYtY2M2OC00MjNmLTlhYTQtM2Q0N2EyNjVlYzJjXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_.jpg
2,21,Three Men and a Comic Book,9 May 1991,Bart\comma Milhouse and Martin each pitch in to buy an expensive comic book\comma which soon has a disastrous effect on their friendship.,https://m.media-amazon.com/images/M/MV5BMTEyNTVjZTEtY2Q1Zi00NWIwLThkZTItOGFjYjc3NDUyNWJiXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_.jpg
2,22,Blood Feud,11 Jul. 1991,Bart saves Mr. Burns's life. But Homer becomes enraged when Mr. Burns doesn't return the favor by sending the Simpsons what he considers to be an appropriate thank you gift.,https://m.media-amazon.com/images/M/MV5BZTk2MzJjYmEtNWUxMS00ZjM1LTk2MTYtNWJiMmRhNjRmNjEyXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_.jpg
3,1,Stark Raving Dad,19 Sep. 1991,Homer accidentally lands in a mental hospital and ends up sharing a room with a white man who thinks he is Michael Jackson.,https://m.media-amazon.com/images/M/MV5BMTk3MTE2OTE4NV5BMl5BanBnXkFtZTgwMzQ1NTQ2MjE@._V1_.jpg
3,2,Mr. Lisa Goes to Washington,26 Sep. 1991,After winning a political essay contest\comma Lisa is invited to Washington\comma D.C.\comma but she soon becomes upset after discovering how policy-making really works.,https://m.media-amazon.com/images/M/MV5BMjQwOTAwNzA5NV5BMl5BanBnXkFtZTgwNzA2NTQ2MjE@._V1_.jpg
3,3,When Flanders Failed,3 Oct. 1991,After wishing for Flanders to lose his business\comma Homer discovers that his neighbor is actually about to go bankrupt and decides to help him out.,https://m.media-amazon.com/images/M/MV5BMTY5MDI4MjE4N15BMl5BanBnXkFtZTgwMDQwOTQ2MjE@._V1_.jpg
3,4,Bart the Murderer,10 Oct. 1991,After having a horrible day\comma Bart gets a job tending bar for a group of gangsters and becomes the prime suspect when Principal Skinner mysteriously disappears.,https://m.media-amazon.com/images/M/MV5BMjI4NDAwMzY2Ml5BMl5BanBnXkFtZTgwODE3NTQ2MjE@._V1_.jpg
3,5,Homer Defined,17 Oct. 1991,Homer is a hero after averting a nuclear meltdown that he nearly caused\comma but he doesn't want to tell anyone that he stopped it completely by accident.,https://m.media-amazon.com/images/M/MV5BMTc0MDc3NjY1N15BMl5BanBnXkFtZTgwMTY3NTQ2MjE@._V1_.jpg
3,6,Like Father\comma Like Clown,24 Oct. 1991,Bart and Lisa try to reunite Krusty the Clown with his father.,https://m.media-amazon.com/images/M/MV5BMTQ4OTc3MTk1Ml5BMl5BanBnXkFtZTgwMjU3NTQ2MjE@._V1_.jpg
3,7,Treehouse of Horror II,31 Oct. 1991,The Simpson family receives a severed monkey's paw which can grant wishes\comma Bart gains magical powers which he uses to turn Homer into a Jack-in-the-box\comma and Mr. Burns uses Homer's brain to create a robot.,https://m.media-amazon.com/images/M/MV5BMzkwNjQyMTM3NV5BMl5BanBnXkFtZTgwOTMzNDE1NTE@._V1_.jpg
3,8,Lisa's Pony,7 Nov. 1991,Homer buys Lisa a pony that the family can ill afford.,https://m.media-amazon.com/images/M/MV5BMTk3MTYxMDM0NV5BMl5BanBnXkFtZTgwOTg2NTQ2MjE@._V1_.jpg
3,9,Saturdays of Thunder,14 Nov. 1991,After Homer fails a fathering test\comma he decides to help Bart build his Soap Box Derby racer.,https://m.media-amazon.com/images/M/MV5BOWQ5YWE3YTItZGYyOS00YzI5LWE2M2QtODc5ZWRlZDgyOGZjXkEyXkFqcGdeQXVyMjQwMDg0Ng@@._V1_.jpg
3,10,Flaming Moe's,21 Nov. 1991,Moe claims a drink that Homer invented is his own\comma with the drink making the bar a local hot spot\comma but threatens his friendship with Homer.,https://m.media-amazon.com/images/M/MV5BNTIzNTI1NDI1MV5BMl5BanBnXkFtZTgwMTc3NTQ2MjE@._V1_.jpg
3,11,Burns Verkaufen der Kraftwerk,5 Dec. 1991,Burns decides to retire and sells the power plant to a German consortium for an exorbitant price. Homer's laziness and inefficiency are quickly exposed by his new bosses\comma and he is laid off.,https://m.media-amazon.com/images/M/MV5BNTQwODc0Mjc0Ml5BMl5BanBnXkFtZTgwNDI0NDQ2MjE@._V1_.jpg
3,12,I Married Marge,26 Dec. 1991,As Marge goes to the doctor for a pregnancy test\comma Homer tells the children of the events leading up to his marriage\comma and Bart's birth.,https://m.media-amazon.com/images/M/MV5BNWViNWEyYTctN2E0OS00Yzk5LWEyNmQtNjIyNDllMDM4YjAzXkEyXkFqcGdeQXVyNjM1MzczNjg@._V1_.jpg
3,13,Radio Bart,9 Jan. 1992,After Bart receives a microphone which can transmit through radios\comma he decides to pull a series of pranks and eventually convinces the town that a boy has fallen down a well.,https://m.media-amazon.com/images/M/MV5BMTUzMjAwMzAwNV5BMl5BanBnXkFtZTgwMDIxNDE1NTE@._V1_.jpg
3,14,Lisa the Greek,23 Jan. 1992,Homer uses Lisa (and her prognostic skills) to help him bet on football games.,https://m.media-amazon.com/images/M/MV5BMTQyMzMwMzk2OF5BMl5BanBnXkFtZTgwMjA5NDQ2MjE@._V1_.jpg
3,15,Homer Alone,6 Feb. 1992,While Marge spends a couple of days at Rancho Relaxo after she has a breakdown\comma Bart and Lisa stay with Patty and Selma\comma and Homer stays at home to take care of Maggie.,https://m.media-amazon.com/images/M/MV5BMTkwNzc1MTQ0Ml5BMl5BanBnXkFtZTgwNTA5NDQ2MjE@._V1_.jpg
3,16,Bart the Lover,13 Feb. 1992,After Mrs. Krabappel gives Bart a month of detention\comma he gets his revenge by responding to her newspaper singles ad. Meanwhile\comma Marge suggests Homer to start a swear jar to stop him cursing.,https://m.media-amazon.com/images/M/MV5BNTIwODIyMjAzOV5BMl5BanBnXkFtZTgwNTk4NDQ2MjE@._V1_.jpg
3,17,Homer at the Bat,20 Feb. 1992,Homer and his co-workers qualify for the plant softball team's league final\comma but Mr. Burns hires nine professional MLB players in order to win a $1 million bet.,https://m.media-amazon.com/images/M/MV5BMTUyMTY2MjE3N15BMl5BanBnXkFtZTgwMDU4NTQ2MjE@._V1_.jpg
3,18,Separate Vocations,27 Feb. 1992,The results of a standardized test steer Bart in the direction of law and order at Springfield Elementary School. However\comma Lisa becomes so depressed by her results that she turns to juvenile delinquency.,https://m.media-amazon.com/images/M/MV5BMTY5MDg4NDg4Ml5BMl5BanBnXkFtZTgwMjU1NTQ2MjE@._V1_.jpg
3,19,Dog of Death,12 Mar. 1992,The Simpsons wind up regretting paying for an expensive surgery for Santa's Little Helper. He then runs away from home\comma winds up in the animal shelter\comma and is adopted by Mr. Burns to become an attack dog.,https://m.media-amazon.com/images/M/MV5BMTQ5NTg5MzMyN15BMl5BanBnXkFtZTgwNDA5NDQ2MjE@._V1_.jpg
3,20,Colonel Homer,26 Mar. 1992,Homer becomes the manager of a beautiful young country singer and finds himself almost attracted to her\comma sparking Marge's jealousy.,https://m.media-amazon.com/images/M/MV5BNjc1MzY2MjgyNF5BMl5BanBnXkFtZTgwODM3NTQ2MjE@._V1_.jpg
3,21,Black Widower,9 Apr. 1992,Sideshow Bob gets out of jail and plots to take his revenge on Bart by marrying his Aunt Selma and killing her.,https://m.media-amazon.com/images/M/MV5BMTg2Mjc0NTQ3OF5BMl5BanBnXkFtZTgwMjI3NTQ2MjE@._V1_.jpg
3,22,The Otto Show,23 Apr. 1992,After Otto loses his job as school bus driver because he does not have a license\comma Bart convinces Homer and Marge to let Otto stay with them until he gets back on his feet.,https://m.media-amazon.com/images/M/MV5BNjkyMDE5NzQ1Ml5BMl5BanBnXkFtZTgwOTg0NTQ2MjE@._V1_.jpg
3,23,Bart's Friend Falls in Love,7 May 1992,Milhouse falls in love with Samantha\comma a new transfer student\comma and Bart becomes jealous of all the time they are spending together. Meanwhile\comma Homer orders a subliminal weight loss tape\comma but is given a vocabulary builder by mistake.,https://m.media-amazon.com/images/M/MV5BMTEwNTkxMTY0MjheQTJeQWpwZ15BbWU4MDY0NzU0NjIx._V1_.jpg
3,24,Brother\comma Can You Spare Two Dimes?,27 Aug. 1992,After Homer wins a $2000 settlement with the plant for radiation affecting his sperm count\comma his brother Herb comes to Springfield with an idea that could help him get his fortune back.,https://m.media-amazon.com/images/M/MV5BMTU3OTgwNjUzM15BMl5BanBnXkFtZTgwOTE3NTQ2MjE@._V1_.jpg
4,1,Kamp Krusty,24 Sep. 1992,Bart and Lisa attend Kamp Krusty but it is nothing like they thought it would be; Homer's hair grows back and he loses weight while the kids are away.,https://m.media-amazon.com/images/M/MV5BNzQyN2NjOTItZjc2MC00YzE4LTllZjEtZmQzNDYzMWExNGY4XkEyXkFqcGdeQXVyNjcwMzEzMTU@._V1_.jpg
4,2,A Streetcar Named Marge,1 Oct. 1992,Marge stars in a musical adaptation of A Streetcar Named Desire\comma but is angry with Homer's lack of interest; Maggie squares off with her strict new daycare owner.,https://m.media-amazon.com/images/M/MV5BZjQ3YWEzODEtNmE2Ny00NWU0LTkzNWQtZjM2ZjI5YTFhZDhlXkEyXkFqcGdeQXVyNjcwMzEzMTU@._V1_.jpg
4,3,Homer the Heretic,8 Oct. 1992,After skipping church one week\comma Homer decides that he is never going back. However\comma when a calamity occurs\comma it takes the combined efforts of a number of people from different faiths to save him.,https://m.media-amazon.com/images/M/MV5BZDUxMTFjMzMtYjdkZS00Mjk0LWJkZTUtMjFmYjdkZDdhYzBmXkEyXkFqcGdeQXVyNjQwMTkxMDU@._V1_.jpg
4,4,Lisa the Beauty Queen,15 Oct. 1992,Lisa enters the Little Miss Springfield pageant.,https://m.media-amazon.com/images/M/MV5BY2NmY2YzYWQtYWIwOC00MzY4LThjMTctMzJkYzVmZmRiZDE3XkEyXkFqcGdeQXVyNjcwMzEzMTU@._V1_.jpg
4,5,Treehouse of Horror III,29 Oct. 1992,An evil Krusty the Clown doll tries to kill Homer; Marge is captured by a giant ape who falls in love with her; Bart inadvertently raises the dead.,https://m.media-amazon.com/images/M/MV5BNzhmNmViZmItMTFhZS00NjY0LTk3YjgtZTBjZDBmMTExNDViXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_.jpg
4,6,Itchy & Scratchy: The Movie,3 Nov. 1992,With Bart continually getting in trouble\comma Homer bans him from seeing the new Itchy & Scratchy movie.,https://m.media-amazon.com/images/M/MV5BM2I1Nzk0Y2MtYTE2Yy00ZWFjLWFlNzQtNDllMjQ0OWY2NzI4XkEyXkFqcGdeQXVyNjcwMzEzMTU@._V1_.jpg
4,7,Marge Gets a Job,5 Nov. 1992,When Marge takes a job at the power plant\comma Mr. Burns falls in love with her.,https://m.media-amazon.com/images/M/MV5BN2IwM2FmZWEtYzdkMi00MTI3LWE1M2YtY2QzODIxMjlkNzRjXkEyXkFqcGdeQXVyNjcwMzEzMTU@._V1_.jpg
4,8,New Kid on the Block,12 Nov. 1992,Bart develops a crush on his new neighbor\comma only to discover that she's dating Jimbo Jones; Homer sues an all-you-can-eat restaurant after he's kicked out.,https://m.media-amazon.com/images/M/MV5BOWI0MjIzYmUtNzlmYi00ODUxLTkxMTktNDExMzBkNzQ0OTk1XkEyXkFqcGdeQXVyNjcwMzEzMTU@._V1_.jpg
4,9,Mr. Plow,19 Nov. 1992,Homer opens a snow plow business only to have his best friend Barney open a rival outfit\comma with commercials by Linda Ronstadt. Homer sends Barney into an avalanche\comma then feels guilty and saves his life.,https://m.media-amazon.com/images/M/MV5BMTQ5MDQwNzM2MV5BMl5BanBnXkFtZTgwMzk1NTQ2MjE@._V1_.jpg
4,10,Lisa's First Word,3 Dec. 1992,While trying to coax Maggie into saying her first word\comma Homer and Marge talk about how Lisa spoke hers.,https://m.media-amazon.com/images/M/MV5BNjc4ZGFjMzAtYzE2Ni00ZDFkLWE2YjktMWYyZGFkZGJiMjExXkEyXkFqcGdeQXVyNjQwMTkxMDU@._V1_.jpg
4,11,Homer's Triple Bypass,17 Dec. 1992,Years of poor eating habits catch up with Homer when he suffers a massive heart attack\comma but the family can't afford the triple bypass operation he needs.,https://m.media-amazon.com/images/M/MV5BOTEzMTAwYzAtZWQ3Ny00NmRhLWIwNjctNDc1OWIzYTA2OWI4XkEyXkFqcGdeQXVyNjYyODY4NDU@._V1_.jpg
4,12,Marge vs. the Monorail,14 Jan. 1993,After receiving a considerable donation of money\comma Springfield builds a monorail system with Homer as the conductor\comma unaware they've just boarded a one-way train to Hell.,https://m.media-amazon.com/images/M/MV5BZmMyNzgwNDYtN2YzMS00MmViLTgwYWEtOTllYzU0Mzk3OGNjXkEyXkFqcGdeQXVyNjQwMTkxMDU@._V1_.jpg
4,13,Selma's Choice,21 Jan. 1993,Selma starts to feel broody\comma but after taking Bart and Lisa to Duff Gardens\comma she changes her mind.,https://m.media-amazon.com/images/M/MV5BMGIyZTIyOTctYjY0MS00OWY1LTkxMjAtYWZlYjAxNGU3NzIxXkEyXkFqcGdeQXVyNjcwMzEzMTU@._V1_.jpg
4,14,Brother from the Same Planet,4 Feb. 1993,When Bart gets tired of Homer's horrible parenting skills\comma he enrolled in the Bigger Brother program where he's assigned a fantastic role model.,https://m.media-amazon.com/images/M/MV5BZjlkZDk0YTEtODVkNy00MjE1LTg1MWUtZWZhNzg2OTZhMTA4XkEyXkFqcGdeQXVyNjcwMzEzMTU@._V1_.jpg
4,15,I Love Lisa,11 Feb. 1993,Feeling sorry for Ralph\comma Lisa sends him a Valentine card. Having developed a crush on her\comma Ralph invites Lisa to go see the Krusty the Clown show. She accepts but after Krusty asks them if they are boyfriend and girlfriend\comma Lisa lets Ralph know that she just wants them to be friends.,https://m.media-amazon.com/images/M/MV5BMTYzNDA4NDM4NF5BMl5BanBnXkFtZTgwMTk5NjA1MjE@._V1_.jpg
4,16,Duffless,18 Feb. 1993,After Homer is arrested for DUI\comma and loses his driver's license\comma he is put to the ultimate test when Marge pressures him to give up beer for a month.,https://m.media-amazon.com/images/M/MV5BNGI2NmYwYTctMDNkZi00MjM1LTgwZmYtYjMyMzI2MTQyYzRlXkEyXkFqcGdeQXVyNjcwMzEzMTU@._V1_.jpg
4,17,Last Exit to Springfield,11 Mar. 1993,Homer becomes union leader and leads a company strike when Mr. Burns takes away the company dental plan.,https://m.media-amazon.com/images/M/MV5BNWRiNjI0OTMtZTk0MS00NmIyLThjOGQtOGZjYTk1OTkyYTZkXkEyXkFqcGdeQXVyNjYyODY4NDU@._V1_.jpg
4,18,So It's Come to This: A Simpsons Clip Show,1 Apr. 1993,Bart's April fools prank results in a huge explosion that seriously injures the Simpsons patriarch.,https://m.media-amazon.com/images/M/MV5BMmVlZjM1N2QtNjZhZC00OTcwLWFiOWMtOTdhZTg0Njk5YmZmXkEyXkFqcGdeQXVyNjcwMzEzMTU@._V1_.jpg
4,19,The Front,15 Apr. 1993,Bart and Lisa decide to write their own episodes of the Itchy and Scratchy show after they begin to grow bored with the current scripts.,https://m.media-amazon.com/images/M/MV5BN2U3ZjE5ODktNzBhNS00OTQ5LTllMDYtYmMxYjdjZTkxOWNhXkEyXkFqcGdeQXVyNjcwMzEzMTU@._V1_.jpg
4,20,Whacking Day,29 Apr. 1993,Marge attempts to home school Bart after he is expelled from Springfield Elementary. Meanwhile\comma Lisa protests a barbaric local holiday centered around clubbing snakes to death.,https://m.media-amazon.com/images/M/MV5BYjRhMTJhOTctNTUzNC00Mjk2LTg4NzAtMTgzNTlhMmRmMDM5XkEyXkFqcGdeQXVyNjcwMzEzMTU@._V1_.jpg
4,21,Marge in Chains,6 May 1993,A misunderstanding leads to Marge being imprisoned for shoplifting\comma with her absence soon descending the family\comma and eventually\comma the town into chaos.,https://m.media-amazon.com/images/M/MV5BMGVlOTQyZDctMDE0Zi00ZGYwLTgwOWMtODYyYTg5NjM0MDY5XkEyXkFqcGdeQXVyNjcwMzEzMTU@._V1_.jpg
4,22,Krusty Gets Kancelled,13 May 1993,A massive advertising blitz announces the arrival of something named Gabbo. Eventually\comma Gabbo is revealed to be a Howdy Doody-esque dummy\comma whose sensational success causes Krusty the Clown's show to be canceled.,https://m.media-amazon.com/images/M/MV5BNjczZDFhOTItZTc2OS00MTYxLThlODktNzI0ODFhNTZhNTEzXkEyXkFqcGdeQXVyNjcwMzEzMTU@._V1_.jpg
